ID;Datos ECG;Segundos;Milisegundos;
18;1915;22;819; 22,819 
19;1919;22;833; 22,833 
20;1919;22;849; 22,849 
21;1923;22;867; 22,867 
22;1920;22;883; 22,883 
23;1920;22;900; 22,900 
24;1920;22;919; 22,919 
25;1926;22;934; 22,934 
26;1923;22;950; 22,950 
27;1921;22;968; 22,968 
28;1927;22;988; 22,988 
29;1922;22;4; 22,004 
30;1924;22;18; 22,018 
31;1924;22;34; 22,034 
32;1925;23;52; 23,052 
33;1925;23;67; 23,067 
34;1925;23;84; 23,084 
35;1922;23;101; 23,101 
36;1925;23;116; 23,116 
37;1927;23;133; 23,133 
38;1926;23;151; 23,151 
39;1925;23;166; 23,166 
40;1925;23;185; 23,185 
41;1922;23;200; 23,200 
42;1923;23;217; 23,217 
43;1930;23;236; 23,236 
44;1927;23;251; 23,251 
45;1929;23;267; 23,267 
46;1925;23;283; 23,283 
47;1903;23;300; 23,300 
48;1904;23;317; 23,317 
49;1903;23;333; 23,333 
50;1903;23;351; 23,351 
51;1904;23;366; 23,366 
52;1906;23;383; 23,383 
53;1907;23;400; 23,400 
54;1906;23;417; 23,417 
55;1905;23;433; 23,433 
56;1904;23;451; 23,451 
57;1910;23;466; 23,466 
58;1911;23;483; 23,483 
59;1910;23;500; 23,500 
60;1909;23;520; 23,520 
61;1906;23;535; 23,535 
62;1915;23;552; 23,552 
63;1911;23;568; 23,568 
64;1911;23;583; 23,583 
65;1914;23;601; 23,601 
66;1915;23;618; 23,618 
67;1914;23;635; 23,635 
68;1919;23;652; 23,652 
69;1918;23;667; 23,667 
70;1915;23;685; 23,685 
71;1917;23;700; 23,700 
72;1916;23;717; 23,717 
73;1917;23;733; 23,733 
74;1915;23;750; 23,750 
75;1915;23;768; 23,768 
76;1915;23;786; 23,786 
77;1919;23;801; 23,801 
78;1921;23;816; 23,816 
79;1920;23;834; 23,834 
80;1920;23;850; 23,850 
81;1920;23;868; 23,868 
82;1922;23;885; 23,885 
83;1921;23;900; 23,900 
84;1924;23;917; 23,917 
85;1923;23;933; 23,933 
86;1923;23;950; 23,950 
87;1926;23;967; 23,967 
88;1925;23;985; 23,985 
89;1926;23;1; 23,001 
90;1929;23;18; 23,018 
91;1925;24;35; 24,035 
92;1929;24;51; 24,051 
93;1926;24;69; 24,069 
94;1929;24;84; 24,084 
95;1927;24;100; 24,100 
96;1927;24;118; 24,118 
97;1931;24;135; 24,135 
98;1933;24;150; 24,150 
99;1919;24;168; 24,168 
100;1917;24;184; 24,184 
101;1912;24;201; 24,201 
102;1917;24;218; 24,218 
103;1919;24;233; 24,233 
104;1907;24;249; 24,249 
105;1911;24;268; 24,268 
106;1909;24;284; 24,284 
107;1914;24;300; 24,300 
108;1906;24;318; 24,318 
109;1908;24;336; 24,336 
110;1908;24;349; 24,349 
111;1911;24;366; 24,366 
112;1906;24;385; 24,385 
113;1909;24;403; 24,403 
114;1911;24;419; 24,419 
115;1915;24;433; 24,433 
116;1904;24;450; 24,450 
117;1910;24;467; 24,467 
118;1915;24;483; 24,483 
119;1907;24;502; 24,502 
120;1911;24;518; 24,518 
121;1910;24;533; 24,533 
122;1910;24;552; 24,552 
123;1908;24;566; 24,566 
124;1914;24;585; 24,585 
125;1930;24;602; 24,602 
126;1930;24;617; 24,617 
127;1930;24;636; 24,636 
128;1931;24;650; 24,650 
129;1931;24;668; 24,668 
130;1929;24;684; 24,684 
131;1925;24;700; 24,700 
132;1923;24;717; 24,717 
133;1929;24;735; 24,735 
134;1923;24;749; 24,749 
135;1920;24;768; 24,768 
136;1925;24;784; 24,784 
137;1920;24;801; 24,801 
138;1920;24;818; 24,818 
139;1919;24;834; 24,834 
140;1918;24;851; 24,851 
141;1914;24;866; 24,866 
142;1915;24;884; 24,884 
143;1919;24;901; 24,901 
144;1918;24;917; 24,917 
145;1915;24;934; 24,934 
146;1914;24;950; 24,950 
147;1915;24;967; 24,967 
148;1916;24;984; 24,984 
149;1918;24;1; 24,001 
150;1913;24;17; 24,017 
151;1937;24;33; 24,033 
152;1942;25;51; 25,051 
153;1940;25;67; 25,067 
154;1941;25;83; 25,083 
155;1943;25;101; 25,101 
156;1942;25;117; 25,117 
157;1947;25;135; 25,135 
158;1941;25;153; 25,153 
159;1941;25;168; 25,168 
160;1943;25;185; 25,185 
161;1947;25;200; 25,200 
162;1946;25;219; 25,219 
163;1947;25;234; 25,234 
164;1950;25;250; 25,250 
165;1946;25;269; 25,269 
166;1946;25;284; 25,284 
167;1947;25;300; 25,300 
168;1947;25;317; 25,317 
169;1943;25;335; 25,335 
170;1977;25;351; 25,351 
171;1943;25;367; 25,367 
172;1946;25;383; 25,383 
173;1942;25;401; 25,401 
174;1941;25;417; 25,417 
175;1943;25;433; 25,433 
176;1938;25;450; 25,450 
177;1945;25;470; 25,470 
178;1937;25;486; 25,486 
179;1940;25;500; 25,500 
180;1940;25;517; 25,517 
181;1949;25;535; 25,535 
182;1937;25;550; 25,550 
183;1942;25;568; 25,568 
184;1941;25;584; 25,584 
185;1946;25;601; 25,601 
186;1947;25;617; 25,617 
187;1945;25;635; 25,635 
188;1943;25;650; 25,650 
189;1947;25;667; 25,667 
190;1949;25;686; 25,686 
191;1948;25;700; 25,700 
192;1943;25;719; 25,719 
193;1943;25;733; 25,733 
194;1950;25;750; 25,750 
195;1947;25;767; 25,767 
196;1946;25;784; 25,784 
197;1947;25;800; 25,800 
198;1950;25;817; 25,817 
199;1946;25;833; 25,833 
200;1945;25;849; 25,849 
201;1948;25;867; 25,867 
202;1947;25;887; 25,887 
203;1943;25;901; 25,901 
204;1924;25;917; 25,917 
205;1924;25;934; 25,934 
206;1926;25;951; 25,951 
207;1925;25;969; 25,969 
208;1929;25;984; 25,984 
209;1925;25;1; 25,001 
210;1925;25;16; 25,016 
211;1929;25;33; 25,033 
212;1927;26;51; 26,051 
213;1925;26;67; 26,067 
214;1926;26;83; 26,083 
215;1925;26;102; 26,102 
216;1932;26;117; 26,117 
217;1930;26;134; 26,134 
218;1930;26;150; 26,150 
219;1930;26;167; 26,167 
220;1933;26;184; 26,184 
221;1934;26;201; 26,201 
222;1936;26;217; 26,217 
223;1935;26;234; 26,234 
224;1936;26;250; 26,250 
225;1947;26;267; 26,267 
226;1938;26;284; 26,284 
227;1939;26;300; 26,300 
228;1936;26;318; 26,318 
229;1936;26;334; 26,334 
230;1925;26;350; 26,350 
231;1929;26;367; 26,367 
232;1952;26;384; 26,384 
233;1924;26;400; 26,400 
234;1929;26;417; 26,417 
235;1931;26;436; 26,436 
236;1925;26;451; 26,451 
237;1925;26;468; 26,468 
238;1923;26;486; 26,486 
239;1927;26;500; 26,500 
240;1933;26;517; 26,517 
241;1932;26;534; 26,534 
242;1931;26;551; 26,551 
243;1925;26;570; 26,570 
244;1930;26;584; 26,584 
245;1923;26;601; 26,601 
246;1927;26;616; 26,616 
247;1926;26;635; 26,635 
248;1923;26;650; 26,650 
249;1930;26;667; 26,667 
250;1931;26;683; 26,683 
251;1931;26;702; 26,702 
252;1931;26;717; 26,717 
253;1931;26;733; 26,733 
254;1931;26;750; 26,750 
255;1935;26;769; 26,769 
256;1966;26;783; 26,783 
257;1963;26;801; 26,801 
258;1958;26;818; 26,818 
259;1962;26;833; 26,833 
260;1959;26;850; 26,850 
261;1959;26;867; 26,867 
262;1956;26;884; 26,884 
263;1953;26;902; 26,902 
264;1953;26;917; 26,917 
265;1953;26;935; 26,935 
266;1952;26;950; 26,950 
267;1954;26;967; 26,967 
268;1951;26;984; 26,984 
269;1949;26;0; 26,000 
270;1950;26;16; 26,016 
271;1953;27;36; 27,036 
272;1946;27;51; 27,051 
273;1948;27;69; 27,069 
274;1945;27;84; 27,084 
275;1947;27;101; 27,101 
276;1945;27;116; 27,116 
277;1943;27;133; 27,133 
278;1943;27;151; 27,151 
279;1941;27;168; 27,168 
280;1946;27;185; 27,185 
