ID;Datos ECG;Segundos;Milisegundos;Ms;;;;;;;;;;;;; 4,899 ;1882
10;1882;4;899; 4,899 ;;;;;;;;;;;;; 4,912 ;1869
11;1869;4;912; 4,912 ;;;;;;;;;;;;; 4,930 ;1872
12;1872;4;930; 4,930 ;;;;;;;;;;;;; 4,948 ;1860
13;1860;4;948; 4,948 ;;;;;;;;;;;;; 4,963 ;1882
14;1882;4;963; 4,963 ;;;;;;;;;;;;; 4,985 ;1883
15;1883;4;985; 4,985 ;;;;;;;;;;;;; 4,996 ;1890
16;1890;4;996; 4,996 ;;;;;;;;;;;;; 4,014 ;1904
17;1904;4;14; 4,014 ;;;;;;;;;;;;; 4,029 ;1904
18;1904;4;29; 4,029 ;;;;;;;;;;;;; 4,046 ;1920
19;1920;4;46; 4,046 ;;;;;;;;;;;;; 4,063 ;1925
20;1925;4;63; 4,063 ;;;;;;;;;;;;; 4,080 ;1954
21;1954;4;80; 4,080 ;;;;;;;;;;;;; 4,098 ;1969
22;1969;4;98; 4,098 ;;;;;;;;;;;;; 4,112 ;1985
23;1985;4;112; 4,112 ;;;;;;;;;;;;; 4,129 ;2018
24;2018;4;129; 4,129 ;;;;;;;;;;;;; 4,147 ;2038
25;2038;4;147; 4,147 ;;;;;;;;;;;;; 4,169 ;2071
26;2071;4;169; 4,169 ;;;;;;;;;;;;; 4,180 ;2114
27;2114;4;180; 4,180 ;;;;;;;;;;;;; 4,197 ;2114
28;2114;4;197; 4,197 ;;;;;;;;;;;;; 4,213 ;2159
29;2159;4;213; 4,213 ;;;;;;;;;;;;; 4,232 ;2163
30;2163;4;232; 4,232 ;;;;;;;;;;;;; 4,247 ;2133
31;2133;4;247; 4,247 ;;;;;;;;;;;;; 4,263 ;2066
32;2066;4;263; 4,263 ;;;;;;;;;;;;; 4,281 ;1975
33;1975;4;281; 4,281 ;;;;;;;;;;;;; 4,296 ;1921
34;1921;4;296; 4,296 ;;;;;;;;;;;;; 4,313 ;1874
35;1874;4;313; 4,313 ;;;;;;;;;;;;; 4,329 ;1873
36;1873;4;329; 4,329 ;;;;;;;;;;;;; 4,346 ;1872
37;1872;4;346; 4,346 ;;;;;;;;;;;;; 4,366 ;1863
38;1863;4;366; 4,366 ;;;;;;;;;;;;; 4,389 ;1875
39;1875;4;389; 4,389 ;;;;;;;;;;;;; 4,396 ;1872
40;1872;4;396; 4,396 ;;;;;;;;;;;;; 4,413 ;1871
41;1871;4;413; 4,413 ;;;;;;;;;;;;; 4,431 ;1877
42;1877;4;431; 4,431 ;;;;;;;;;;;;; 4,445 ;1875
43;1875;4;445; 4,445 ;;;;;;;;;;;;; 4,464 ;1893
44;1893;4;464; 4,464 ;;;;;;;;;;;;; 4,479 ;1901
45;1901;4;479; 4,479 ;;;;;;;;;;;;; 4,498 ;1895
46;1895;4;498; 4,498 ;;;;;;;;;;;;; 4,514 ;1907
47;1907;4;514; 4,514 ;;;;;;;;;;;;; 4,530 ;1903
48;1903;4;530; 4,530 ;;;;;;;;;;;;; 4,548 ;1908
49;1908;4;548; 4,548 ;;;;;;;;;;;;; 4,563 ;1925
50;1925;4;563; 4,563 ;;;;;;;;;;;;; 4,580 ;1921
51;1921;4;580; 4,580 ;;;;;;;;;;;;; 4,598 ;1922
52;1922;4;598; 4,598 ;;;;;;;;;;;;; 4,614 ;1930
53;1930;4;614; 4,614 ;;;;;;;;;;;;; 4,631 ;1937
54;1937;4;631; 4,631 ;;;;;;;;;;;;; 4,654 ;1932
55;1932;4;654; 4,654 ;;;;;;;;;;;;; 4,663 ;1933
56;1933;4;663; 4,663 ;;;;;;;;;;;;; 4,680 ;1936
57;1936;4;680; 4,680 ;;;;;;;;;;;;; 4,696 ;1936
58;1936;4;696; 4,696 ;;;;;;;;;;;;; 4,713 ;1947
59;1947;4;713; 4,713 ;;;;;;;;;;;;; 5,733 ;1935
60;1935;5;733; 5,733 ;;;;;;;;;;;;; 5,749 ;1933
61;1933;5;749; 5,749 ;;;;;;;;;;;;; 5,763 ;1962
62;1962;5;763; 5,763 ;;;;;;;;;;;;; 5,781 ;1958
63;1958;5;781; 5,781 ;;;;;;;;;;;;; 5,797 ;2020
64;2020;5;797; 5,797 ;;;;;;;;;;;;; 5,813 ;2029
65;2029;5;813; 5,813 ;;;;;;;;;;;;; 5,832 ;2036
66;2036;5;832; 5,832 ;;;;;;;;;;;;; 5,848 ;2011
67;2011;5;848; 5,848 ;;;;;;;;;;;;; 5,863 ;1965
68;1965;5;863; 5,863 ;;;;;;;;;;;;; 5,879 ;1954
69;1954;5;879; 5,879 ;;;;;;;;;;;;; 5,897 ;1956
70;1956;5;897; 5,897 ;;;;;;;;;;;;; 5,913 ;1962
71;1962;5;913; 5,913 ;;;;;;;;;;;;; 5,930 ;1959
72;1959;5;930; 5,930 ;;;;;;;;;;;;; 5,947 ;1946
73;1946;5;947; 5,947 ;;;;;;;;;;;;; 5,964 ;1962
74;1962;5;964; 5,964 ;;;;;;;;;;;;; 5,981 ;1907
