ID,Datos ECG,Segundos,Milisegundos
0,5,41,588
1,3259,41,605
2,3254,41,623
3,3111,41,640
4,4095,41,658
5,4012,41,672
6,3212,41,688
7,3277,41,706
8,3241,41,721
9,3301,41,738
10,3298,41,757
11,3321,41,786
12,3358,41,790
13,3418,41,808
14,3476,41,838
15,3552,41,844
16,3632,41,862
17,3624,41,880
18,3550,41,894
19,3377,41,911
20,3272,41,930
21,3237,41,945
22,3243,41,961
23,3249,41,980
24,3271,41,7
25,3283,41,12
26,3284,41,30
27,3306,41,47
28,3288,41,63
29,3294,41,80
30,3284,41,99
31,3275,41,113
32,3261,41,130
33,3288,41,146
34,3330,41,165
35,3386,41,181
36,3333,41,197
37,3258,41,214
38,3260,41,230
39,3280,41,246
40,3284,41,264
41,3130,41,279
42,4095,41,297
43,3974,41,313
44,3204,41,330
45,3241,41,346
46,3228,41,362
47,3230,41,380
48,3246,41,397
49,3282,42,414
50,3320,42,430
51,3363,42,447
52,3431,42,464
53,3509,42,479
54,3587,42,495
55,3602,42,514
56,3513,42,531
57,3342,42,546
58,3212,42,564
59,3188,42,580
60,3166,42,597
61,3162,42,614
62,3163,42,631
63,3174,42,647
64,3187,42,664
65,3193,42,680
66,3219,42,696
67,3218,42,714
68,3224,42,730
69,3219,42,747
70,3225,42,766
71,3236,42,779
72,3254,42,797
73,3313,42,814
74,3367,42,830
75,3320,42,847
76,3225,42,862
77,3237,42,879
78,3237,42,897
79,3239,42,914
80,3169,42,932
81,3804,42,946
82,4095,42,964
83,3228,42,979
84,3263,42,996
85,3254,42,13
86,3271,42,29
87,3280,42,46
88,3313,42,63
89,3328,42,80
90,3358,42,95
91,3423,42,112
92,3497,42,130
93,3569,42,145
94,3619,42,162
95,3564,42,180
96,3412,42,197
97,3262,42,212
98,3219,42,230
99,3213,42,247
100,3231,42,263
101,3235,42,280
102,3234,42,297
103,3254,42,313
104,3255,42,330
105,3246,42,347
106,3244,42,364
107,3251,42,381
108,3240,42,397
109,3260,43,413
